label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes
SH2-1,,Scorpius,7.5,,150,15.980889,-26.120556,Bright Nebula,Irregular
SH2-2,,Scorpius,9,,60,17.0685,-38.1425,Nebula,Irregular
SH2-3,,Scorpius,7.5,,12,17.229167,-38.503056,Bright Nebula,Elliptical
SH2-4,,Scorpius,7.5,,5,17.330222,-39.338889,Bright Nebula,Elliptical
SH2-5,,Scorpius,9,,100,17.334306,-38.454722,Nebula,Irregular
SH2-6,,Scorpius,7.5,,4,17.251139,-37.116667,Bright Nebula,Irregular
SH2-7,,Scorpius,12,,240,16.0055,-22.950556,Nebula,Irregular
SH2-8,,Scorpius,7.5,,120,17.356889,-36.034722,Bright Nebula,Irregular
SH2-9,,Scorpius,9,,80,16.353028,-25.589444,Nebula,Irregular
SH2-10,,Scorpius,9,,60,17.316667,-34.090278,Nebula,Irregular
SH2-11,,Scorpius,7.5,,90,17.441944,-34.205556,Bright Nebula,Irregular
SH2-12,,Scorpius,9,,120,17.598944,-32.599722,Nebula,Circular
SH2-13,,Scorpius,9,,40,17.507944,-31.562778,Nebula,Elliptical
SH2-14,,Scorpius,9,,2,17.505139,-30.263056,Nebula,Irregular
SH2-15,,Scorpius,9,,30,17.842889,-31.264167,Nebula,Elliptical
SH2-16,,Sagittarius,9,,20,17.797833,-29.303889,Nebula,Irregular
SH2-17,,Sagittarius,9,,25,17.769111,-28.858056,Nebula,Irregular
SH2-18,,Sagittarius,9,,4,17.812806,-29.251667,Nebula,Circular
SH2-19,,Sagittarius,9,,12,17.822694,-29.116944,Nebula,Circular
SH2-20,,Sagittarius,9,,10,17.820639,-28.667222,Nebula,Irregular
SH2-21,,Sagittarius,9,,5,17.860833,-28.894722,Nebula,Irregular
SH2-22,,Sagittarius,9,,60,17.917722,-25.036111,Nebula,Irregular
SH2-23,,Scorpius,12,,50,16.2235,-8.372222,Nebula,Irregular
SH2-24,,Ophiuchus,9,,30,16.184389,-7.077222,Nebula,Elliptical
SH2-25,,Sagittarius,7.5,,90,18.090556,-24.394167,Bright Nebula,Irregular
SH2-26,,Sagittarius,12,,20,17.983056,-23.326389,Nebula,Irregular
SH2-27,,Ophiuchus,9,,480,16.620111,-10.569722,Nebula,Irregular
SH2-28,,Sagittarius,12,,40,18.044944,-23.584167,Nebula,Circular
SH2-29,,Sagittarius,9,,40,18.17525,-23.998611,Nebula,Irregular
SH2-30,,Sagittarius,7.5,,20,18.0595,-23.015278,Bright Nebula,Irregular
SH2-31,,Sagittarius,9,,8,18.188417,-23.796667,Nebula,Circular
SH2-32,,Sagittarius,9,,8,18.181639,-23.6475,Nebula,Circular
SH2-33,,Serpens,12,,35,15.997889,-1.6175,Nebula,Irregular
SH2-34,,Sagittarius,9,,90,18.106806,-21.658333,Nebula,Irregular
SH2-35,,Sagittarius,9,,20,18.264083,-20.251944,Nebula,Irregular
SH2-36,,Serpens,12,,45,16.09175,0.394444,Nebula,Circular
SH2-37,,Sagittarius,9,,20,18.295306,-19.664167,Nebula,Irregular
SH2-38,,Sagittarius,12,,3,18.145972,-18.269167,Nebula,Irregular
SH2-39,,Sagittarius,9,,3,18.279583,-18.649722,Nebula,Irregular
SH2-40,,Sagittarius,9,,15,18.200611,-17.744444,Nebula,Irregular
SH2-41,,Sagittarius,9,,90,18.264278,-18.235278,Nebula,Irregular
SH2-42,,Sagittarius,9,,3,18.171611,-16.815278,Nebula,Irregular
SH2-43,,Sagittarius,9,,15,18.273694,-17.400556,Nebula,Elliptical
SH2-44,,Sagittarius,9,,60,18.274889,-16.733611,Nebula,Irregular
SH2-45,,Sagittarius,7.5,,60,18.346139,-16.173333,Bright Nebula,Irregular
SH2-46,,Serpens,9,,25,18.103083,-14.158611,Nebula,Elliptical
SH2-47,,Serpens,9,,5,18.29575,-15.613889,Nebula,Circular
SH2-48,,Scutum,9,,10,18.373361,-14.585833,Nebula,Irregular
SH2-49,,Serpens,7.5,,90,18.311278,-13.961667,Bright Nebula,Irregular
SH2-50,,Scutum,9,,35,18.425111,-14.711667,Nebula,Irregular
SH2-51,,Sagittarius,12,,35,18.679639,-16.558333,Nebula,Irregular
SH2-52,,Sagittarius,9,,2,19.796333,-23.0875,Nebula,Elliptical
SH2-53,,Scutum,9,,15,18.420778,-13.228889,Nebula,Irregular
SH2-54,,Serpens Cauda,7.5,,140,18.298111,-11.73,Bright Nebula,Irregular
SH2-55,,Scutum,12,,5,18.536417,-11.762222,Nebula,Irregular
SH2-56,,Scutum,12,,7,18.518389,-9.714722,Nebula,Circular
SH2-57,,Scutum,12,,2,18.509333,-8.615833,Nebula,Irregular
SH2-58,,Scutum,9,,8,18.524222,-8.463611,Nebula,Irregular
SH2-59,,Scutum,12,,20,18.617,-7.600278,Nebula,Irregular
SH2-60,,Scutum,9,,20,18.611389,-6.701111,Nebula,Irregular
SH2-61,,Scutum,7.5,,2,18.548639,-5.01,Bright Nebula,Irregular
SH2-62,,Serpens,12,,4,18.459556,-3.856111,Nebula,Irregular
SH2-63,,Sagittarius,12,,55,19.962,-14.115556,Nebula,Irregular
SH2-64,,Serpens,9,,25,18.526639,-1.913056,Nebula,Irregular
SH2-65,,Aquila,9,,7,18.782806,-3.743056,Nebula,Irregular
SH2-66,,Aquila,9,,8,18.758361,-1.996389,Nebula,Irregular
SH2-67,,Aquila,12,,10,18.823583,-2.353611,Nebula,Elliptical
SH2-68,,Serpens,9,,8,18.419861,0.855,Nebula,Irregular
SH2-69,,Aquila,9,,20,18.740611,-0.282222,Nebula,Elliptical
SH2-70,,Ophiuchus,9,,5,18.244139,7.063056,Nebula,Irregular
SH2-71,,Aquila,7.5,,3,19.034083,2.159722,Bright Nebula,Elliptical
SH2-72,,Aquila,9,,25,19.064,2.313889,Nebula,Irregular
SH2-73,,Hercules,12,,75,16.185444,21.873889,Nebula,Irregular
SH2-74,,Aquila,9,,3,19.146944,5.608889,Nebula,Irregular
SH2-75,,Aquila,12,,10,18.987611,7.12,Nebula,Circular
