label1,label2,Const,Mag,Season,Size,RA dec,DEC dec,Type,notes,,common+name,MajAx,MinAx,PosAng,B-Mag,V-Mag,J-Mag,H-Mag,K-Mag,SurfBr,Hubble,Pax,Pm-RA,Pm-Dec,RadVel,Redshift,Cstar U-Mag,Cstar B-Mag,Cstar V-Mag,M,NGC,IC,Cstar Names,Identifiers,,,OpenNGC notes,Sources,,,,,RA,Dec,RA deg,RA min,DEC deg,DEC min,DEC sec,,,,
IC0001,,Pegasus,0,,0,8.45,27.71766667,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type:1,RA:1,###############################################################################################################################################################################################################################################################,Const:99,,08:27.0,+27:43:03.6,8,27,27,43,03.6,,,,
IC0002,,Cetus,11.17,,1.030921918,11.01666667,-12.82286111,Galaxy,,,,0.98,0.32,142,15.46,,12.26,11.48,11.17,23.45,Sb,,,,6775,0.02286,,,,,,,,2MASX J00110081-1249206,,,,,,,,,11:00.9,-12:49:22.3,11,1,-12,49,22.3,,,,
IC0003,,Pisces,10.54,,1.14621115,12.1,-0.415222222,Galaxy,,,,0.93,0.67,53,14.78,,11.53,10.79,10.54,23.5,E,,,,5398,0.01817,,,,,,,,2MASX J00120604-0024543,,,,,,,,,12:06.1,-00:24:54.8,12,6,-00,24,54.8,,,,
IC0004,,Pegasus,10.5,,1.440312466,13.45,17.48644444,Galaxy,,,,1.17,0.84,12,14.14,,11.51,10.65,10.5,23.01,Sc,,,,4956,0.016672,,,,,,,,2MASX J00132695+1729111,,,,,,,,,13:26.9,+17:29:11.2,13,27,17,29,11.2,,,,
IC0005,,Cetus,10.5,,1.189831921,17.58333333,-9.543361111,Galaxy,,,,0.99,0.66,9,14.57,,11.5,10.85,10.5,23.4,E,,,,6617,0.02232,,,,,,,,2MASX J00173495-0932364,,,,,,,,,17:34.9,-09:32:36.1,17,35,-09,32,36.1,,,,
IC0006,,Pisces,10.08,,1.636856744,18.91666667,-3.276083333,Galaxy,,,,1.23,1.08,146,14.57,,11.03,10.32,10.08,23.89,E,,,,6186,0.020852,,,,,,,,2MASX J00185505-0316339,,,,,,,,,18:55.0,-03:16:33.9,18,55,-03,16,33.9,,,,
IC0007,,Pisces,10.26,,1.098590005,18.88333333,10.59469444,Galaxy,,,,0.9,0.63,174,14.63,,11.33,10.57,10.26,23.22,S0,,,,5326,0.017926,,,,,,,,2MASX J00185316+1035410,,,,,,,,,18:53.2,+10:35:40.9,18,53,10,35,40.9,,,,
IC0008,,Pisces,12.08,,0.887693641,19.05,-3.222083333,Galaxy,,,,0.82,0.34,129,15.16,,12.7,12.08,12.08,23.4,E?,,,,6090,0.020525,,,,,,,,2MASX J00190272-0313196,,,,,,,,,19:02.7,-03:13:19.5,19,3,-03,13,19.5,,,,
IC0009,,Cetus,11.28,,0.748131005,19.73333333,-14.12188889,Galaxy,,,,0.59,0.46,122,15.41,,12.38,11.71,11.28,22.88,Sa,,,,12622,0.043027,,,,,,,,2MASX J00194400-1407184,,,,,,,,,19:44.0,-14:07:18.8,19,44,-14,07,18.8,,,,
IC0010,,Cassiopeia,6.01,,9.058614684,20.28333333,59.30377778,Galaxy,,,,6.76,6.03,129,11.78,10.35,7.23,6.34,6.01,24.53,IB,,,,-348,-0.00116,,,,,,,,2MASX J00201733+5918136,,,,,,,,,20:17.3,+59:18:13.6,20,17,59,18,13.6,,,,
