label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes
IC 1530 ,NGC 7831,ANDROMEDA,12.8,autumn,1.5,00 07.3,+32 37,Galaxy - ,,,eF;vS;mE;vF*v nr, 
UGC62,NGC5,ANDROMEDA,13.3,autumn,1.2,00 07.8,+35 22,Galaxy - ,,,vF;vS;N=*13;14 ,compact 
UGC65,NGC 7836,ANDROMEDA,13.7,autumn,0.9,00 08.0,+33 04,Galaxy - ,,,eF;vS;R;bet 2 st, 
UGC73,NGC 11,ANDROMEDA,13.7,autumn,1.5,00 08.7,+37 27,Galaxy - ,,,vF;vS;vlE;2 vf st inv, 
UGC77,NGC 13,ANDROMEDA,13.2,autumn,2.3,00 08.8,+33 26,Galaxy - ,,,vF;vS;S st + neb,H III 866;UGC 77 
NGC 20,NGC6,ANDROMEDA,13,autumn,,00 09.5,+33 19,Galaxy - ,,,eF;vS;cE = 7831?, 
NGC6,NGC 20,ANDROMEDA,13,autumn,1.7,00 09.5,+33 19,Galaxy - ,,,F;*10 att ,comp@ 3.8' PA122 0.5x0.2;B0.3' n 
UGC96,NGC 27,ANDROMEDA,13.4,autumn,1.2,00 10.5,+29 00,Galaxy - ,,,eF;vS;E;Bnr , 
UGC98,NGC 19,ANDROMEDA,14.1,autumn,1.1,00 10.7,+32 59,Galaxy - ,,,eeF;lE;3 vF st around, 
NGC 29,NGC 21,ANDROMEDA,12.7,autumn,1.5,00 10.8,+33 21,Galaxy - ,,,eF;S;lE , 
NGC 21,NGC 29,ANDROMEDA,12.7,autumn,1.5,00 10.8,+33 21,Galaxy - ,,,pB;pL;E 0 degrees ,H II 853;UGC 100 
UGC 114,NGC 39,ANDROMEDA,13.5,autumn,1.1,00 12.3,+31 04,Galaxy - ,,,vF;pS;R ,H III 861 
UGC 120,NGC 43,ANDROMEDA,12.6,autumn,1.6,00 13.0,+30 55,Galaxy - ,,,eF;* 12 np 45'', 
 ,NGC 44,ANDROMEDA,99.9,autumn,,00 13.2,+31 17,2 Star - ,,,eF;vS, 
UGC 133,NGC 48,ANDROMEDA,13.6,autumn,1.6,00 14.0,+48 14,Galaxy - ,,,eef;pL;R;v diffic , 
UGC 136,NGC 49,ANDROMEDA,13.7,autumn,1.1,00 14.4,+48 15,Galaxy - ,,,eeF;S;R;2nd of 3,NGC 51 group;in group of 6;NGC 51 the brightest 
UGC 138,NGC 51,ANDROMEDA,13.1,autumn,1.7,00 14.6,+48 15,Galaxy - ,,,pF;pS;R;bM,brightest in group of 6 including NGC 49 and NGC 48 
V V 166 ,NGC 67,ANDROMEDA,14.2,autumn,0.3,00 18.2,+30 04,Galaxy - ,,,eF;vS;R , 
ZwG 499.104 ,NGC 67A ,ANDROMEDA,15.7,autumn,0.4,00 18.2,+30 03,Galaxy - ,,,, 
