label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,
NGC7831,IC1530,ANDROMEDA,12.8,autumn,1.5,0.121666667,32.61666667,Galaxy,eF;vS;mE;vF*v nr ,
NGC5,UGC62,ANDROMEDA,13.3,autumn,1.2,0.13,35.36666667,Galaxy,vF;vS;N=*13;14 ,compact 
NGC7836,UGC65,ANDROMEDA,13.7,autumn,0.9,0.133333333,33.06666667,Galaxy,eF;vS;R;bet 2 st,
NGC11,UGC73,ANDROMEDA,13.7,autumn,1.5,0.145,37.45,Galaxy,vF;vS;vlE;2 vf st inv,
NGC13,UGC77,ANDROMEDA,13.2,autumn,2.3,0.146666667,33.43333333,Galaxy,vF;vS;S st + neb,
NGC6,NGC 20,ANDROMEDA,13,autumn,0.158333333,33.31666667,Galaxy,eF;vS;cE = 7831?,
NGC20,NGC6,ANDROMEDA,13,autumn,1.7,0.158333333,33.31666667,Galaxy,F;*10 att ,
NGC27,UGC96,ANDROMEDA,13.4,autumn,1.2,0.175,29,Galaxy,eF;vS;E;Bnr ,
NGC19,UGC98,ANDROMEDA,14.1,autumn,1.1,0.178333333,32.98333333,Galaxy,eeF;lE;3 vF st around,
NGC21,NGC 29,ANDROMEDA,12.7,autumn,1.5,0.18,33.35,Galaxy,eF;S;lE ,
NGC29,NGC 21,ANDROMEDA,12.7,autumn,1.5,0.18,33.35,Galaxy,pB;pL;E 0 degrees ,
NGC39,UGC 114,ANDROMEDA,13.5,autumn,1.1,0.205,31.06666667,Galaxy,vF;pS;R ,
NGC43,UGC 120,ANDROMEDA,12.6,autumn,1.6,0.216666667,30.91666667,Galaxy,eF;* 12 np 45'',
NGC44, ,ANDROMEDA,99.9,autumn,,0.22,31.28333333,2 Star - ,eF;vS,
NGC48,UGC 133,ANDROMEDA,13.6,autumn,1.6,0.233333333,48.23333333,Galaxy,eef;pL;R;v diffic ,
NGC49,UGC 136,ANDROMEDA,13.7,autumn,1.1,0.24,48.25,Galaxy,eeF;S;R;2nd of 3,
NGC51,UGC 138,ANDROMEDA,13.1,autumn,1.7,0.243333333,48.25,Galaxy,pF;pS;R;bM,
NGC67,V V 166 ,ANDROMEDA,14.2,autumn,0.3,0.303333333,30.06666667,Galaxy,eF;vS;R ,
NGC67A,ZwG 499.104 ,ANDROMEDA,15.7,autumn,0.4,0.303333333,30.05,Galaxy,,
NGC68,UGC 170,ANDROMEDA,12.9,autumn,1.2,0.305,30.06666667,Galaxy,eF;L;3 or 4 st+neb ,
NGC69,MCG 5- 1- 66,ANDROMEDA,14.8,autumn,0.5,0.305,30.03333333,Galaxy,eF;vS;R ,
NGC70,UGC 174;IC 1539 ,ANDROMEDA,13.5,autumn,1.6,0.306666667,30.08333333,Galaxy,eF;vS;R;bet 2 F st ,
NGC71,UGC 173;V V 166 ,ANDROMEDA,13.2,autumn,1.5,0.306666667,30.06666667,Galaxy,eF;vS;R ,
NGC72,UGC 176;V V 166 ,ANDROMEDA,13.5,autumn,1.1,0.308333333,30.03333333,Galaxy,eF;vS;R ,
