UM,NGC,CONSTELLATION,MAG,View,Ang. Size (Amin),R Asc.,Declin,OBJECT AND REMARKS
M01,NGC 1952,TAURUS,8.4,winter,7.2,5h 34.5m,+22° 01′,Supernova remnant Crab Nebula
M02,NGC 7089,AQUARIUS,6.5,autumn,12.9,21h 33.5m,+00° 49′,Globular cluster diameter 7 seconds
M03,NGC 5272,CANES VENATICI,6.2,spring,16.2,13h 42.2m,+28° 23′,Globular cluster
M04,NGC 6121,SCORPIO,5.6,summer,26.3,16h 23.6m,-26° 32′,Globular cluster
M05,NGC 5904,SERPENS,5.6,summer,17.4,15h 18.6m,+02° 05′,Globular cluster fine globular
M06,NGC 6405,SCORPIO,4.2,summer,25.0,17h 40.1m,-32° 13′,Open cluster naked-eye. Superb cluster.
M07,NGC 6475,SCORPIO,4.1,summer,80.0,17h 53.9m,-34° 49′,Open cluster glorious brilliant naked-eye cluster.
M08,NGC 6523,SAGITTARIUS,6.0,summer,98.5,18h 03.8m,-24° 23′,Nebula Lagoon Nebula
M09,NGC 6333,OPHIUCHUS,7.7,summer,9.3,17h 19.2m,-18° 31′,Globular cluster
M10,NGC 6254,OPHIUCHUS,6.6,summer,15.1,16h 57.1m,-04° 06′,Globular cluster
M11,NGC 6705,SCUTUM,6.3,summer,14.0,18h 51.1m,-06° 16′,Open cluster lovely fan shaped cluster Wild Duck
M12,NGC 6218,OPHIUCHUS,6.7,summer,14.5,16h 47.2m,-01° 57′,Globular cluster none
M13,NGC 6205,HERCULES,5.8,summer,16.6,16h 41.7m,+36° 28′,Globular cluster Great globular cluster naked-eye
M14,NGC 6402,OPHIUCHUS,7.6,summer,11.7,17h 37.6m,-03° 15′,Globular cluster
M15,NGC 7078,PEGASUS,6.2,autumn,12.3,21h 30.0m,+12° 10′,Globular cluster bright and condensed
M16,NGC 6611,SERPENS,6.4,summer,7.0,18h 18.8m,-13° 47′,Nebula + cluster easy object
M17,NGC 6618,SAGITTARIUS,7.0,summer,11.0,18h 20.8m,-16° 11′,Nebula Omega or Horseshoe Nebula
M18,NGC 6613,SAGITTARIUS,7.5,summer,9.0,18h 19.9m,-17° 08′,Open cluster sparse
M19,NGC 6273,OPHIUCHUS,6.8,summer,13.5,17h 02.6m,-26° 16′,Globular cluster
M20,NGC 6514,SAGITTARIUS,9.0,summer,28.0,18h 02.6m,-23° 02′,Nebula Trifid Nebula
M21,NGC 6531,SAGITTARIUS,6.5,summer,13.0,18h 04.6m,-22° 30′,Open cluster about 50 stars
M22,NGC 6656,SAGITTARIUS,5.1,summer,24.0,18h 36.4m,-23° 54′,Globular cluster first globular to be discovered.
M23,NGC 6494,SAGITTARIUS,6.9,summer,27.0,17h 56.8m,-19° 01′,Open cluster about 120 stars
M24,NGC 6603,SAGITTARIUS,4.6,summer,90.0,18h 16.9m,-18° 30′,Open cluster rich. Some 50 stars
M25,NGC I 47,SAGITTARIUS,6.5,summer,40.0,18h 31.6m,-19° 15′,Open cluster contains u sgr
M26,NGC 6694,SCUTUM,8.0,summer,15.0,18h 45.2m,-09° 24′,Open cluster not comparable with m.11
M27,NGC 6853,VULPECULA,7.4,summer,9.8,19h 59.6m,+22° 43′,Planetary Dumb-Bell Nebula
M28,NGC 6626,SAGITTARIUS,6.8,summer,11.2,18h 24.5m,-24° 52′,Globular cluster
M29,NGC 6913,CYGNUS,7.1,summer,7.0,20h 23.9m,+38° 32′,Open cluster sparse about 20 stars
M30,NGC 7099,CAPRICORNUS,7.2,autumn,11.0,21h 40.4m,-23° 11′,Globular cluster
M31,NGC 224,ANDROMEDA,3.4,autumn,188.8,0h 41.8m,+41° 16′,Galaxy Great Andromeda Spiral naked-eye
M32,NGC 221,ANDROMEDA,8.1,autumn,10.0,0h 42.8m,+40° 52′,Galaxy type E2 companion to M31
M33,NGC 598,TRIANGULUM,5.7,autumn,85.8,1h 33.9m,+30° 39′,Galaxy type Sc. Member of the local group.
M34,NGC 1039,PERSEUS,5.5,autumn,35.0,2h 42.0m,+42° 47′,Open cluster about 80 stars
M35,NGC 2168,GEMINI,5.3,winter,28.0,6h 08.9m,+24° 20′,Open cluster naked eye
M36,NGC1960,AURIGA,6.3,winter,12.0,5h 36.1m,+34° 08′,Open cluster none
M37,NGC2099,AURIGA,6.2,winter,24.0,5h 52.4m,+32° 33′,Open cluster superior to M36
M38,NGC1912,AURIGA,7.4,winter,21.0,5h 28.7m,+35° 50′,Open cluster cruciform
M39,NGC 7092,CYGNUS,4.6,autumn,32.0,21h 32.2m,+48° 26′,Open cluster about 25 stars
,,,8.4,spring,0.8,12h 22.4m,+58° 05′,
M41,NGC 2287,CANIS MAJOR,4.6,winter,38.0,6h 47.0m,-20° 44′,Open cluster naked eye
M42,NGC 1976,ORION,4.0,winter,104.0,5h 35.4m,-05° 27′,Nebula Great nebula in Orion. Naked-eye
M43,NGC 19,ORION,9.0,winter,25.0,5h 35.6m,-05° 16′,Nebula part of the great Orion nebulae M42
M44,NGC 2632,CANCER,3.7,winter,95.0,8h 40.1m,+19° 59′,Open cluster Praesepe. Naked-eye
M45,NGCMEL.,TAURUS,1.6,winter,110.0,3h 47.0m,+24° 07′,Open cluster The Pleiades – Seven Sisters
M46,NGC 2437,PUPPIS,6.0,winter,27.0,7h 41.8m,-14° 49′,Open cluster within is faint planetary NGC 2438
M47,NGC 2422,PUPPIS,5.2,winter,30.0,7h 36.6m,-14° 30′,Open cluster naked-eye
M48,NGC 2548,HYDRA,5.5,winter,54.0,8h 13.8m,-05° 48′,Open cluster -
M49,NGC 4472,VIRGO,8.4,spring,11.7,12h 29.8m,+08° 00′,Galaxy type E4
M50,NGC 2323,MONOCEROS,6.3,winter,16.0,7h 03.2m,-08° 20′,Open cluster none
M51,NGC 5194,CANES VENATICI,8.4,spring,13.0,13h 30.0m,+47° 11′,Spiral galaxy whirlpool galaxy
M52,NGC 7654,CASSIOPEIA,7.3,autumn,13.0,23h 24.2m,+61° 35′,Open cluster not distinctive
M53,NGC 5024,COMA BERENICES,7.6,spring,12.6,13h 12.9m,+18° 10′,Globular cluster
M54,NGC 6715,SAGITTARIUS,7.6,summer,9.1,18h 55.1m,-30° 29′,Globular cluster
M55,NGC 6809,SAGITTARIUS,6.3,summer,19.0,19h 40.0m,-30° 58′,Globular cluster
M56,NGC 6779,LYRA,8.3,summer,7.1,19h 16.6m,+30° 11′,Globular cluster rich area
M57,NGC 6720,LYRA,8.8,summer,1.7,18h 53.6m,+33° 02′,Planetary ring nebula. Central star. mag. 14
M58,NGC 4579,VIRGO,9.7,spring,7.1,12h 37.7m,+11° 49′,Galaxy type Sb
M59,NGC 4621,VIRGO,9.6,spring,6.1,12h 42.0m,+11° 39′,Galaxy type E3
M60,NGC 4649,VIRGO,8.8,spring,9.2,12h 43.7m,+11° 33′,Galaxy type E1
M61,NGC 4303,VIRGO,9.7,spring,8.1,12h 21.9m,+04° 28′,Galaxy type Sc
M62,NGC 6266,OPHIUCHUS,6.5,summer,14.1,17h 01.2m,-30° 07′,Globular cluster
M63,NGC 5055,CANES VENATICI,8.6,spring,11.7,13h 15.8m,+42° 02′,Spiral galaxy type Sb
M64,NGC 4826,COMA BERENICES,8.5,spring,10.8,12h 56.7m,+21° 41′,Galaxy type Sb black-eye galaxy
M65,NGC 3623,LEO,9.3,spring,8.1,11h 18.9m,+13° 05′,Galaxy type Sa
M66,NGC 3627,LEO,8.9,spring,8.4,11h 20.2m,+12° 59′,Galaxy type Sb
M67,NGC 2682,CANCER,6.1,winter,30.0,8h 50.4m,+11° 49′,Open cluster famous old cluster
M68,NGC 4590,HYDRA,7.8,spring,12.0,12h 39.5m,-26° 45′,Globular cluster none
M69,NGC 6637,SAGITTARIUS,7.6,summer,7.1,18h 31.4m,-32° 21′,Globular cluster
M70,NGC 6681,SAGITTARIUS,7.9,summer,7.8,18h 43.2m,-32° 18′,Globular cluster
M71,NGC 6838,SAGITTARIUS,8.2,summer,7.2,19h 53.8m,+18° 47′,Open cluster very distant
M72,NGC 6981,AQUARIUS,9.3,summer,5.9,20h 53.5m,-12° 32′,Cluster globular cluster
M74,NGC 628,PISCES,9.4,autumn,13.9,1h 36.7m,+15° 47′,Galaxy type Sc
M75,NGC 6864,SAGITTARIUS,8.5,summer,6.0,20h 06.1m,-21° 55′,Globular cluster none
M76,NGC 650-,PERSEUS,10.1,autumn,3.2,1h 42.4m,+51° 34′,Planetary faintest messier object
M77,NGC 1068,CETUS,8.9,autumn,9.2,2h 42.7m,+00° 02′,Galaxy Seyfert galaxy (radio source)
M78,NGC 2068,ORION,8.3,winter,10.0,5h 46.7m,+00° 03′,Nebula reflection nebula
M79,NGC 1904,LEPUS,7.7,winter,8.7,5h 24.5m,-24° 33′,Globular cluster
M80,NGC 6093,SCORPIO,7.3,summer,8.9,16h 17.0m,-22° 59′,Globular cluster
M81,NGC 3031,URSA MAJOR,6.9,spring,23.3,9h 55.6m,+69° 04′,Galaxy type Sb
M82,NGC 3034,URSA MAJOR,8.4,spring,9.8,9h 55.8m,+69° 41′,Galaxy irregular. Radio source
M83,NGC 5236,HYDRA,7.6,spring,14.9,13h 37m,-29° 52′,Galaxy type Sc
M84,NGC 4374,VIRGO,9.1,spring,5.0,12h 25.1m,+12° 53′,Galaxy type E1
M85,NGC 4382,COMA BERENICES,9.1,spring,8.8,12h 25.5m,+18° 12′,Galaxy type Ep
M86,NGC 4406,VIRGO,8.9,spring,9.3,12h 26.2m,+12° 57′,Galaxy type E3
M87,NGC 4486,VIRGO,8.6,spring,7.0,12h 30.8m,+12° 24′,Galaxy type Eo. Radio source
M88,NGC 4501,COMA BERENICES,9.6,spring,8.1,12h 32.1m,+14° 26′,Galaxy type Sb
M89,NGC 4552,VIRGO,9.8,spring,4.0,12h 35.7m,+12° 33′,Galaxy type So
M90,NGC 4569,VIRGO,9.5,spring,10.5,12h 36.8m,+13° 10′,Galaxy type Sc
M91,NGC 4571,COMA BERENICES,10.2,spring,7.0,12h 35.5m,+14° 30′,Galaxy identification uncertain
M92,NGC 6341,HERCULES,6.4,summer,11.2,17h 17.1m,+43° 08′,Globular cluster little inferior to M.13
M93,NGC 2447,PUPPIS,6.0,winter,22.0,7h 44.6m,-23° 52′,Open cluster loose
M95,NGC 3351,LEO,9.7,spring,5.5,10h 44m,+11° 42′,Galaxy type SBb
M96,NGC 3368,LEO,9.2,spring,7.2,10h 46.8m,+11° 49′,Galaxy type Sa. Near M.95
M97,NGC 3587,URSA MAJOR,9.9,spring,4.7,11h 14.8m,+55° 01′,Planetary Owl Nebula. Central star ( mag. 14.3 )
M98,NGC 4192,COMA BERENICES,10.1,spring,10.0,12h 13.9m,+14° 55′,Galaxy type Sb
M99,NGC 4254,COMA BERENICES,9.9,spring,7.2,12h 18.9m,+14° 26′,Galaxy type Sc
M100,NGC 4321,COMA BERENICES,9.3,spring,9.2,12h 23m,+15° 50′,Galaxy
M101,NGC 5457,URSA MAJOR,7.9,spring,22.0,14h 03.2m,+54° 21′,Spiral galaxy
M103,NGC 581,CASSIOPEIA,7.4,autumn,6.0,1h 33.2m,+60° 42′,Star cluster
M104,NGC 4594,VIRGO,8.0,spring,9.8,12h 40.0m,-11° 37′,Galaxy
M105,NGC 3379,LEO,9.3,spring,2.0,10h 47.8m,+12° 35′,Galaxy
M106,NGC 4258,,8.4,spring,20.6,12h 18.9m,+47° 19′,Galaxy
M107,NGC 6171,OPHIUCHUS,7.9,summer,10.0,16h 32.5m,-13° 03′,Star cluster
M108,NGC 3556,URSA MAJOR,10.0,spring,8.1,11h 11.5m,+55° 40′,Galaxy
