,NGC 7805,PEGASUS,13.3,autumn,1.5,00 01 26.8,+31 26 01,"Galaxy - eF,S,R,sbM,stellar,sp of 2,III 855 "
,NGC 7806,PEGASUS,13.5,autumn,1.4,00 01 30.1,+31 26 31,"Galaxy - eF,S,R,stellar,nf of 2,III 856 "
,NGC 7810,PEGASUS,13,autumn,1.5,00 02 19.2,+12 58 18,"Galaxy - pF,stellar,2 st np in line,(III 984) "
,NGC 7814,PEGASUS,10.6,autumn,6.0,00 03 14.9,+16 08 43,"Galaxy - cB,cL,E,vgbM,II 240 "
,NGC 7816,PISCIS AUSTRINUS,12.8,autumn,2.3,00 03 48.9,+07 28 43,"Galaxy - vF,pL,R,gbM,III 436 "
,NGC 7817,PEGASUS,11.8,autumn,3.6,00 03 58.8,+20 45 03,"Galaxy - pF,cL,mE approx 45°,lbM,II 227 "
,NGC 7826,CARINA,,winter,,00 05 17,-20 41.5,"Asterism - Cl,vP,vlC,VIII 29 "
,NGC 7832,PISCIS AUSTRINUS,12.3,autumn,2.1,00 06 28.5,-03 42 58,"Galaxy - vF,vS,R,vgpsmbM,2 st 9 sf,III 190 "
,NGC 0012,PISCIS AUSTRINUS,13.1,autumn,2.3,00 08 44.8,+04 36 45,"Galaxy - eF,pL,vglbM,III 868 "
,NGC 0014,PEGASUS,12.1,autumn,3.5,00 08 46.1,+15 48 56,"Galaxy - vF,pS,R,glbM,II 591 "
,NGC 0013,ANDROMEDA,13.2,autumn,2.6,00 08 47.7,+33 25 59,"Galaxy - vF,vS,S st + neb,III 866 "
,NGC 0016,PEGASUS,12,autumn,2.1,00 09 04.3,+27 43 46,"Galaxy - pB,S,R,bM,IV 15 "
,NGC 0023,PEGASUS,12,autumn,2.7,00 09 53.3,+25 55 26,"Galaxy - 3 S st + neb,III 147 "
,NGC 0024,SAGITTA,11.6,summer,5.7,00 09 56.4,-24 57 49,"Galaxy - vF,cL,mE,gbm,III 461 "
,NGC 0029,ANDROMEDA,12.7,autumn,1.9,00 10 46.9,+33 21 10,"Galaxy - pB,pL,E 0 degrees,II 853 "
,NGC 0036,PISCIS AUSTRINUS,13.2,autumn,2.6,00 11 22.3,+06 23 21,"Galaxy - vF,pS,iF,III 456 "
,NGC 0039,ANDROMEDA,13.5,autumn,1.5,00 12 19.0,+31 03 42,"Galaxy - vF,pS,R,III 861 "
,NGC 0040,CAPRICORNUS,10.6,autumn,6.2,00 13 01.0,+72 31 19,"Planetary Nebula - F,vS,R,vsmbM,*12 sp,IV 58 "
,NGC 0052,PEGASUS,13.3,autumn,2.1,00 14 40.1,+18 34 54,"Galaxy - vF,S,E,III 183 "
,NGC 0057,PISCIS AUSTRINUS,11.6,autumn,2.9,00 15 30.9,+17 19 43,"Galaxy - F,S,R,sbM,II 241=II 243 "
,NGC 0061,PISCIS AUSTRINUS,13.6,autumn,1.3,00 16 24.5,-06 19 21,"Galaxy - vF,S,iR,psvlbM,III 428 "
,NGC 0068,ANDROMEDA,12.9,autumn,1.6,00 18 18.5,+30 04 18,"Galaxy - eF,L,3 or 4 st+neb,V 16 "
,NGC 0095,PISCIS AUSTRINUS,12.5,autumn,2.2,00 22 13.6,+10 29 31,"Galaxy - F,pL,R,gbM,II 257 "
,NGC 0108,ANDROMEDA,12.1,autumn,2.6,00 25 59.8,+29 12 43,"Galaxy - pF,pL,R,pslbM,III 148 "
,NGC 0125,PISCIS AUSTRINUS,12.1,autumn,1.7,00 28 50.3,+02 50 19,"Galaxy - vF,S,bM,D* sp,III 869 "
,NGC 0128,PISCIS AUSTRINUS,11.8,autumn,2.6,00 29 15.1,+02 51 51,"Galaxy - pB,pS,lE 2 degrees,bM,II 854 "
,NGC 0129,CANIS MAJOR,6.5,winter,29.7,00 29 58.5,+60 12 43,"Open Cluster - Cl,vL,pRi,lC,st 9...13,VIII 79 "
,NGC 0132,CARINA,12.6,winter,2.4,00 30 10.6,+02 05 34,"Galaxy - pF,cL,R,vglbM,R,II 855 "
,NGC 0137,PISCIS AUSTRINUS,12.8,autumn,1.8,00 30 58.1,+10 12 30,"Galaxy - F,iF,lbM,II 471 "
,NGC 0136,CANIS MAJOR,,winter,1.4,00 31 31,+61 30.6,"Open Cluster - vF,S,eC,VI 35 "
,NGC 0151,CARINA,11.6,winter,4.1,00 34 02.5,-09 42 20,"Galaxy - pF,pL,lE 90 degrees,vglbM,II 478 "
