,NGC 7805,Peg,13.3,,1.2x0.9,00 01 26.8,+31 26 01,GX,"eF,S,R,sbM,stellar,sp of 2",III 855
,NGC 7806,Peg,13.5,,1.1x0.8,00 01 30.1,+31 26 31,GX,"eF,S,R,stellar,nf of 2",III 856
,NGC 7810,Peg,13,,1.2x0.9,00 02 19.2,+12 58 18,GX,"pF,stellar,2 st np in line",(III 984)
,NGC 7814,Peg,10.6,,5.5x2.3,00 03 14.9,+16 08 43,GX,"cB,cL,E,vgbM",II 240
,NGC 7816,Psc,12.8,,1.7x1.5,00 03 48.9,+07 28 43,GX,"vF,pL,R,gbM",III 436
,NGC 7817,Peg,11.8,,3.5x0.9,00 03 58.8,+20 45 03,GX,"pF,cL,mE approx 45°,lbM",II 227
,NGC 7826,Cet,,,,00 05 17,-20 41.5,AST,"Cl,vP,vlC",VIII 29
,NGC 7832,Psc,12.3,,1.9x1.0,00 06 28.5,-03 42 58,GX,"vF,vS,R,vgpsmbM,2 st 9 sf",III 190
,NGC 0012,Psc,13.1,,1.7x1.5,00 08 44.8,+04 36 45,GX,"eF,pL,vglbM",III 868
,NGC 0014,Peg,12.1,,2.8x2.1,00 08 46.1,+15 48 56,GX,"vF,pS,R,glbM",II 591
,NGC 0013,And,13.2,,2.5x0.7,00 08 47.7,+33 25 59,GX,"vF,vS,S st + neb",III 866
,NGC 0016,Peg,12,,1.8x1.0,00 09 04.3,+27 43 46,GX,"pB,S,R,bM",IV 15
,NGC 0023,Peg,12,,2.2x1.6,00 09 53.3,+25 55 26,GX,3 S st + neb,III 147
,NGC 0024,Scl,11.6,,5.5x1.6,00 09 56.4,-24 57 49,GX,"vF,cL,mE,gbm",III 461
,NGC 0029,And,12.7,,1.7x0.8,00 10 46.9,+33 21 10,GX,"pB,pL,E 0 degrees",II 853
,NGC 0036,Psc,13.2,,2.2x1.3,00 11 22.3,+06 23 21,GX,"vF,pS,iF",III 456
,NGC 0039,And,13.5,,1.1x1.0,00 12 19.0,+31 03 42,GX,"vF,pS,R",III 861
,NGC 0040,Cep,10.6,,"38""x35""",00 13 01.0,+72 31 19,PN,"F,vS,R,vsmbM,*12 sp",IV 58
,NGC 0052,Peg,13.3,,2.1x0.4,00 14 40.1,+18 34 54,GX,"vF,S,E",III 183
,NGC 0057,Psc,11.6,,2.2x1.9,00 15 30.9,+17 19 43,GX,"F,S,R,sbM",II 241=II 243
,NGC 0061,Psc,13.6,,1.1x0.7,00 16 24.5,-06 19 21,GX,"vF,S,iR,psvlbM",III 428
,NGC 0068,And,12.9,,1.2x1.1,00 18 18.5,+30 04 18,GX,"eF,L,3 or 4 st+neb",V 16
,NGC 0095,Psc,12.5,,1.9x1.1,00 22 13.6,+10 29 31,GX,"F,pL,R,gbM",II 257
,NGC 0108,And,12.1,,2.0x1.6,00 25 59.8,+29 12 43,GX,"pF,pL,R,pslbM",III 148
,NGC 0125,Psc,12.1,,1.2x1.2,00 28 50.3,+02 50 19,GX,"vF,S,bM,D* sp",III 869
,NGC 0128,Psc,11.8,,2.5x0.7,00 29 15.1,+02 51 51,GX,"pB,pS,lE 2 degrees,bM",II 854
,NGC 0129,Cas,6.5,,21,00 29 58.5,+60 12 43,OC,"Cl,vL,pRi,lC,st 9...13",VIII 79
,NGC 0132,Cet,12.6,,1.9x1.4,00 30 10.6,+02 05 34,GX,"pF,cL,R,vglbM,R",II 855
,NGC 0137,Psc,12.8,,1.3x1.3,00 30 58.1,+10 12 30,GX,"F,iF,lbM",II 471
,NGC 0136,Cas,,,1,00 31 31,+61 30.6,OC,"vF,S,eC",VI 35
,NGC 0151,Cet,11.6,,3.7x1.7,00 34 02.5,-09 42 20,GX,"pF,pL,lE 90 degrees,vglbM",II 478
,NGC 0154,Cet,13.1,,1.0x0.8,00 34 19.4,-12 39 24,GX,"eF,vS,R",III 467
,NGC 0157,Cet,10.4,,4.2x2.7,00 34 46.6,-08 23 48,GX,"pB,L,E,bet 2 cB st",II 3
,NGC 0163,Cet,12.7,,1.5x1.2,00 35 59.8,-10 07 18,GX,"vF,vS",III 954
,NGC 0160,And,12.6,,3.0x1.7,00 36 04.1,+23 57 29,GX,"vF,vS,stell,*8,17 degrees,4'",III 476
,NGC 0173,Cet,13,,3.2x2.6,00 37 12.4,+01 56 32,GX,"vF,S,R,vgbM,*11 sp 80''",III 871
,NGC 0171,Cet,,,,00 37 21.6,-19 56 04,Dup,"vF,pL,lE,2 pB st sf",III 223??
,NGC 0175,Cet,12.2,,2.1x1.9,00 37 21.6,-19 56 04,GX,"pB,pL,E,gbM,r",III 223?
,NGC 0180,Psc,12.9,,2.4x1.9,00 37 57.7,+08 38 06,GX,"vF,pL,iR,* np inv",III 876
,NGC 0182,Psc,12.4,,2.0x1.7,00 38 12.4,+02 43 43,GX,"vF,S,iR,vgbM",III 870
,NGC 0185,Cas,9.2,,11.7x10.0,00 38 57.2,+48 20 15,GX,"pB,vL,iR,vgmbM,r",II 707
,NGC 0191,Cet,13.3,,1.5x1.3,00 38 59.3,-09 00 09,GX,"pB,pL,iE 0 degrees",II 479
,NGC 0192,Cet,12.6,,1.9x0.9,00 39 13.5,+00 51 49,GX,"F,pS,pmE,bM",III 872
,NGC 0196,Cet,12.9,,1.1x0.8,00 39 17.8,+00 54 46,GX,"F,pS,R,psmbM",II 860
,NGC 0194,Psc,12.2,,1.5x1.4,00 39 18.4,+03 02 14,GX,"pB,S,R,vgbM",II 856
,NGC 0193,Psc,12.2,,1.4x1.2,00 39 18.5,+03 19 52,GX,"F,L,p of 2,* 15 close sp",III 595
,NGC 0198,Psc,13.2,,1.2x1.2,00 39 22.9,+02 47 52,GX,"F,S,vgbM",II 857
,NGC 0200,Psc,12.6,,1.9x1.0,00 39 34.8,+02 53 15,GX,"pB,S,vgbM",II 858
,NGC 0201,Cet,12.9,,1.8x1.4,00 39 34.9,+00 51 35,GX,"vF,cL,E,vglbM",III 873
,NGC 0205,And,8.1,,21.9x11.0,00 40 22.0,+41 41 07,GX,"vB,vL,mE 165 degrees,vgvmbM",V 18
,NGC 0206,And,,,4.2x1.5,00 40 31.3,+40 44 22,C+N,"vF,vL,mE 0 degrees",V 36
,NGC 0210,Cet,10.9,,5.0x3.3,00 40 34.8,-13 52 28,GX,"B,pS,R,psbM,r,* 11 p 2'",II 452
,NGC 0213,Psc,13.3,,1.7x1.4,00 41 10.0,+16 28 09,GX,"F,S,bet 2 S st",III 200
,NGC 0216,Cet,13.2,,1.8x0.7,00 41 27.1,-21 02 44,GX,"eF,vS,lE",III 244
,NGC 0214,And,12.3,,2.2x1.7,00 41 28.0,+25 29 58,GX,"pF,pS,gvlbM,R",II 209
,NGC 0217,Cet,12.7,,2.5x0.7,00 41 33.8,-10 01 20,GX,"F,S,lE 90 degrees,glbM",II 480
,NGC 0227,Cet,12.1,,1.6x1.3,00 42 36.8,-01 31 43,GX,"F,pL,lbM",II 444
,NGC 0234,Psc,12.5,,1.6x1.6,00 43 32.4,+14 20 33,GX,"F,pS,ilE,bM",II 245
,NGC 0233,And,12.4,,1.7x1.5,00 43 36.6,+30 35 13,GX,"F,vS,R,lbM",III 149
,NGC 0225,Cas,7,,12,00 43.5,+61 47,OC,"Cl,L,lC,st 9...10",VIII 78
,NGC 0244,Cet,12.9,,1.5x0.9,00 45 46.7,-15 35 50,GX,"vF,S,iR,r,* 10 s 5'",III 485
,NGC 0245,Cet,12.2,,1.4x1.2,00 46 05.5,-01 43 22,GX,"F,pS,iF,er",II 445
,NGC 0246,Cet,10.4,,"240""x210""",00 47 03.3,-11 52 19,PN,"vF, L, 4 st in dif neb",V 25
,NGC 0247,Cet,9.1,,21.4x6.9,00 47 08.2,-20 45 37,GX,"F,eL,vmE 172 degrees",V 20
,NGC 0253,Scl,7.2,,27.5x6.8,00 47 33.1,-25 17 17,GX,"!!vvB,vvL,vmE 54 degrees,gbM",V 1
,NGC 0255,Cet,11.9,,3.0x2.5,00 47 47.1,-11 28 07,GX,"F,pS,R,gbM",II 472
,NGC 0251,Psc,13.2,,2.4x1.9,00 47 54.0,+19 35 48,GX,"vF,S,R,lbM,* inv,2 vS st f",III 204
,NGC 0252,And,12.4,,1.5x1.1,00 48 01.5,+27 37 26,GX,"pB,S,R,pmbM,r,** p",II 609
,NGC 0257,Psc,12.6,,1.9x1.3,00 48 01.6,+08 17 48,GX,"PL,lE,gbM,r",II 863
,NGC 0259,Cet,12.5,,2.3x0.7,00 48 03.2,-02 46 31,GX,"F,S,E 135 degrees,lbM",II 703= II 621
,NGC 0266,Psc,11.6,,3.0x2.9,00 49 47.8,+32 16 40,GX,"pB,pS,lE,psbM,r,* 8 sf 4'",III 153
,NGC 0268,Cet,13.1,,1.6x1.1,00 50 09.4,-05 11 38,GX,"vF,pS,ilE,r",III 463
,NGC 0270,Cet,12.1,,2.0x1.7,00 50 32.4,-08 39 07,GX,"pF,vS,iR,pgbM",III 955
,NGC 0271,Cet,12,,2.1x1.7,00 50 41.9,-01 54 37,GX,"pF,S,lE,psbM,* 8 f 5 sec.",II 446
,NGC 0273,Cet,12.9,,2.2x0.7,00 50 48.4,-06 53 08,GX,"vF,vS",III 430
,NGC 0274,Cet,11.8,,1.5x1.5,00 51 01.9,-07 03 28,GX,"pB,pS,smbM,np of 2",III 429
,NGC 0278,Cas,10.8,,2.1x2.0,00 52 04.3,+47 33 02,GX,"cB,pL,R,2 st 10 nr",I 159
,NGC 0279,Cet,12.7,,1.6x1.2,00 52 08.9,-02 13 07,GX,"vF,S,iR,bM,stellar",III 439
,NGC 0280,And,13.2,,1.7x1.1,00 52 29.9,+24 21 01,GX,"eF,S,R",III 477
,NGC 0288,Scl,8.1,,13.8,00 52 47.4,-26 35 24,GC,"B,L,lE,st 12...16",VI 20
,NGC 0296,Psc,12.6,,2.0x0.8,00 55 07.6,+31 32 32,GX,"F,LF,* 10 nf 2'",II 214
,NGC 0315,Psc,11.2,,3.2x2.0,00 57 48.8,+30 21 09,GX,"pB,pL,R,gbM,* 9 nf 3'",II 210
,NGC 0337,Cet,11.6,,2.9x1.8,00 59 50.3,-07 34 43,GX,"pF,L,E,glbM,* 10 f 21 sec",II 433
,NGC 0352,Cet,12.6,,2.4x0.9,01 02 09.2,-04 14 45,GX,"pF,S,iE,* 8 f 97 sec",III 191
,NGC 0357,Cet,12,,2.4x1.7,01 03 21.9,-06 20 22,GX,"F,S,iR,sbM,* 14 nf 20''",II 434
,NGC 0379,Psc,12.9,,1.4x0.8,01 07 15.7,+32 31 13,GX,"pF,S,R,bM",II 215
,NGC 0380,Psc,12.5,,1.3x1.3,01 07 17.6,+32 28 59,GX,"pF,S,R,sbM",II 216
,NGC 0383,Psc,12.4,,1.4x1.4,01 07 24.9,+32 24 45,GX,"pF,pL,R,gbM,nf Dneb",II 217
,NGC 0392,Psc,12.7,,1.2x0.9,01 08 23.5,+33 08 00,GX,"F,vS,R,mbM,bet 2 st",II 218
,NGC 0393,And,12.5,,1.7x1.4,01 08 37.0,+39 38 39,GX,"F,vS,vlE,gbM,4 S st nr",I 54
,NGC 0381,Cas,,,6,01 08.3,+61 35,OC,"Cl,pC",VIII 64
,NGC 0404,And,10.3,,3.5x3.5,01 09 26.9,+35 43 05,GX,"pB,cL,R,gbM",II 224
,NGC 0407,Psc,13.4,,1.7x0.4,01 10 36.5,+33 07 35,GX,"vF,vS,sp of 2",II 219
,NGC 0410,Psc,11.5,,2.4x1.3,01 10 58.9,+33 09 07,GX,"pB,pL,nf of 2",II 220
,NGC 0420,Psc,12.1,,2.0x2.0,01 12 09.6,+32 07 24,GX,"F,pS,R,bM",III 154
,NGC 0426,Cet,12.9,,1.4x1.0,01 12 48.6,-00 17 25,GX,"vF,vS,R",III 592
,NGC 0428,Cet,11.5,,4.1x3.1,01 12 55.6,+00 58 54,GX,"F,L,R,bM,er",II 622
,NGC 0429,Cet,13.4,,1.4x0.3,01 12 57.4,-00 20 43,GX,"vF,vS",III 593
